Date,Radial Distance from Sun(AU),Electronic Box Temperature(DegC),Out Board Sensor Temperature(DegC),In Board Sensor Temperature(DegC),Search Coil Magnetometers Temperature(DegC),Solar Array Angle(Deg),High Gain Antenna azimuth(Deg),High Gain Antenna Elevation(Deg)
2022-01-01,0.992170817893934,2.69462839975872,-86.1999772153818,-72.5768589358267,-113.526905144881,-0.0181490043488282,99.5727448117142,-81.5800943827337
2022-01-02,0.985085422801075,2.6749591981804,-86.6839865720974,-73.0991747175795,-113.507703557771,-0.0181490043488282,99.543377841381,-81.5803518748014
2022-01-03,0.977585076709202,2.67214931224064,-86.1999772153818,-72.6224981788925,-113.483802319591,-0.0181490043488282,98.860345799249,-81.5871968722706
2022-01-04,0.969675390418372,2.74239646073464,-86.1461983979689,-72.5667168818121,-113.477822925761,-0.0181490043488282,98.2655305395475,-81.5931406475026
2022-01-05,0.961362305409867,1.95000862572229,-86.1657543315736,-72.6377112599144,-113.469038989287,-0.0181490043488282,97.7015199142245,-81.5966039158145
2022-01-06,0.952652093790444,1.8151341006138,-86.1315314477654,-72.6884215299875,-113.466414155201,-0.0181490043488282,97.0475716011514,-81.6012773968452
2022-01-07,0.943551357988053,1.8151341006138,-86.1364204311666,-72.7239187190387,-113.444560505437,-0.0181490043488282,96.4365686734538,-81.6073670842489
2022-01-08,0.934067030457541,1.82637364437284,-86.1853102651783,-72.7999841241483,-113.412256530755,-0.0181490043488282,95.2870725843528,-81.6143966176999
2022-01-09,0.92420637334845,1.87976147722829,-82.4403489798838,-68.9257194905641,-113.692694457969,-0.0181490043488282,95.2550491541866,-81.6146326520954
2022-01-10,0.913976978127875,-1.66220573596704,-53.5124539381107,-42.0636690235389,-113.26986745017,-0.0181490043488282,93.9664687246601,-81.6230011442991
2022-01-11,0.903386764873003,-2.81345249041474,-53.402218044848,-42.9035615436358,-112.372535224414,-0.0181490043488282,2.34678432583083,-89.7937566060668
2022-01-12,0.892443981804388,0.466388849528947,-85.3835169873867,-73.3476550409377,-111.890849919435,-0.0181490043488282,93.1079987536629,-81.6252541998925
2022-01-13,0.881157206262632,1.73926718024028,-86.0728636469514,-73.1042457445869,-112.579385119185,-0.0181490043488282,92.4233573861071,-81.6291809539264
2022-01-14,0.869535342222468,1.64373105828844,-86.1070865307596,-72.9723990423968,-112.168126422127,-0.0181490043488282,91.7102416873865,-81.6322622756712
2022-01-15,0.857587620094831,1.68587934738483,-86.1168644975619,-72.992683150426,-112.1130274775,-0.0181490043488282,91.0150517281196,-81.6350217323312
2022-01-16,0.845323596059956,1.71116832084267,-86.1217534809631,-73.073819582543,-112.076383845913,-0.0181490043488282,90.2884434450459,-81.6382403831789
2022-01-17,0.832753151193381,1.19274436495694,-86.0924195805561,-73.0535354745138,-112.693560681459,-0.0181490043488282,89.5848592443686,-81.6398497086025
2022-01-18,0.819886490781459,2.00339645857773,-86.0581966967479,-73.0180382854626,-112.813157866547,-0.0181490043488282,88.9366100890628,-81.6439137917394
2022-01-19,0.806734142312883,2.46562269566827,-86.0581966967479,-73.0484644475065,-112.755552449338,-0.0181490043488282,88.0169342535479,-81.6458664399204
2022-01-20,0.793306955250811,2.79016452171056,-86.0728636469514,-73.0636775285284,-112.655476565531,-0.0181490043488282,87.2989304970735,-81.650252388142
2022-01-21,0.779616099256692,2.92644398978893,-86.0924195805561,-73.1296008796234,-112.545124619649,-0.0181490043488282,86.4796508187963,-81.651660011446
2022-01-22,0.765673062714845,2.86322155614432,-86.1070865307596,-73.1600270416673,-112.444874472998,0.018214618142963,85.5434354094593,-81.6544108850371
2022-01-23,0.751489651047049,2.8576017842648,-86.1413094145678,-73.3070868248793,-112.345610000557,-0.0181490043488282,84.6558087533174,-81.6573291284722
2022-01-24,0.737077984839376,2.78454474983104,-86.1021975473585,-73.3476550409377,-112.669521061604,-0.0181490043488282,83.0863817254345,-81.6621828539503
2022-01-25,0.722450498453189,2.8857006436624,-86.1364204311666,-73.5251409861935,-114.551625123985,29.9272941176471,82.1639979316732,-81.6659164889335
2022-01-26,0.707619933934581,2.90677478821061,-85.7257458254685,-73.073819582543,-114.95708575025,29.9272941176471,81.2223022328265,-81.6703625186377
2022-01-27,0.692599343673297,2.99528619531305,-86.0141958461374,-73.3679391489669,-114.956394144588,29.9636577401388,80.2670023697306,-81.6744909747915
2022-01-28,0.677402085856343,3.07677288756609,-85.9164161781141,-73.3425840139304,-114.8894608754,29.9272941176471,79.2564661665558,-81.6782761081882
2022-01-29,0.662041820984716,3.18073866733722,-85.8821932943059,-73.4237204460474,-114.791819225693,29.9272941176471,78.2021777695262,-81.6838937268009
2022-01-30,0.646532508435878,3.2594154736505,-86.1021975473585,-73.6671297423982,-114.682104428334,29.9272941176471,77.1200244392257,-81.6902280316689
2022-01-31,0.630888402668704,2.88429570069253,-86.1315314477654,-73.8091184986028,-114.561939306057,29.9272941176471,76.0055515628809,-81.6977510915833
2022-02-01,0.615124049640491,3.06834322974681,-86.1657543315736,-74.0068885518879,-114.087323559344,29.9272941176471,74.8524420017617,-81.7039652334864
2022-02-02,0.599254280386091,2.87446109990336,-86.0581966967479,-74.0068885518879,-113.396547304447,29.9636577401388,73.6925046093112,-81.7134924399953
2022-02-03,0.583294207694679,2.93627859057808,-86.0728636469514,-74.2401557942241,-113.38449428144,29.9272941176471,72.3200246810245,-81.7234402168815
2022-02-04,0.567259219963081,3.57412269890363,-86.1266424643642,-74.4024286584581,-113.944264655953,29.9272941176471,71.0820199851496,-81.7325597276162
2022-02-05,0.551164974985349,3.7385010263796,-86.087530597155,-74.468352009553,-113.938813496369,29.9636577401388,69.7642528297373,-81.7446704378721
2022-02-06,0.535027393142677,3.80453334596396,-86.0533077133467,-74.6052697387504,-113.790270759109,29.9636577401388,68.382923757387,-81.7592015735653
2022-02-07,0.518862649902657,3.95767212968089,-86.1070865307596,-74.8588210891158,-113.602959984803,29.9272941176471,66.9375907400489,-81.7744622701173
2022-02-08,0.502687167988428,4.20634703534966,-86.1217534809631,-75.0464490883863,-113.442708962721,29.9636577401388,65.4695683800026,-81.7932548995327
2022-02-09,0.486517606981777,4.26535464008462,-86.5128721530565,-75.5738358971464,-113.230222653189,29.9272941176471,63.9501248540155,-81.8131418702363
2022-02-10,0.470370854578516,4.26816452602438,-86.0288627963409,-75.3507107088248,-112.923400242269,29.9636577401388,62.3758183514477,-81.8353977679637
2022-02-11,0.454264015158992,3.89163981009653,-86.8599899745394,-76.3497030292647,-111.883274338624,29.9636577401388,60.7444043997749,-81.8605590345228
2022-02-12,0.43821439760759,3.91130901167485,-86.6302077546845,-76.3446320022574,-111.393922490176,29.9636577401388,59.0533166613881,-81.8888016228267
2022-02-13,0.422239501917153,3.56569304108435,-86.1706433149748,-74.3010081183118,-113.849879543141,29.9636577401388,57.3669281532387,-81.9199753291691
2022-02-14,0.406357002758527,3.07958277350586,-85.7061898918639,-72.105253424147,-115.592208467596,55.8181933318074,55.48537782383,-81.9570756446055
2022-02-15,0.390584734302017,2.94751813433713,-85.7013009084627,-71.6539320204965,-115.887763696516,55.8181933318074,53.600158232455,-81.9965019717211
2022-02-16,0.374940675903979,3.68370825055428,-85.6328551408463,-71.7046422905696,-116.479162777192,55.8181933318074,51.647857665882,-82.0415072936392
2022-02-17,0.359442928808589,3.88321015227724,-85.6719670080557,-71.9328385058985,-116.443368099918,55.8181933318074,49.6623706633033,-82.0891647838557
2022-02-18,0.344109694883984,3.96048201562065,-85.6132992072416,-71.8060628307157,-116.59189994575,55.8363751430533,47.5341472244705,-82.1452551392928
2022-02-19,0.328959252423929,3.93940787107245,-85.5839653068346,-71.1164031577217,-116.637093925165,59.9091008621347,45.3652958288726,-82.2062464270872
2022-02-20,0.314009929847741,3.78205425844588,-85.593743273637,-71.2736049949483,-116.439915517324,59.9091008621347,43.1213511632332,-82.2733831922332
2022-02-21,0.299280076867209,3.97734133125921,-85.6866339582592,-71.5880086694014,-116.16487973827,59.9091008621347,40.799854178305,-82.3465323971625
2022-02-22,0.284788031992699,5.05285058121036,-86.2488670493935,-72.2269580723224,-115.867015526668,59.9091008621347,38.4610193941447,-82.4245181614321
2022-02-23,0.270552087086509,5.30848161608859,-85.9066382113117,-72.0596141810812,-115.540299922978,59.9091008621347,35.9214480854569,-82.5124989094671
2022-02-24,0.256590448234198,5.26564023486458,-86.1119755141608,-72.4297991526147,-115.218839433173,59.9091008621347,33.3574922779479,-82.6070929121102
2022-02-25,0.24292119265568,5.70170429375177,-86.1364204311666,-72.6782794759729,-114.890147035348,59.9091008621347,30.6827462167308,-82.7095490058904
2022-02-26,0.229562221248296,6.06126588616751,-86.1755322983759,-72.9064756913018,-114.539639107755,59.9091008621347,27.9849202831693,-82.8185625643306
2022-02-27,0.216531206361338,6.15459889526266,-86.0679746635502,-73.0332513664845,-114.180526952246,59.9091008621347,25.1732656894995,-82.9354339223735
2022-02-28,0.203845534384619,6.46213881047783,-86.322201800411,-73.5149989321789,-113.790047484841,59.9091008621347,23.1813843005703,-83.0216079343993
2022-03-01,0.191522249868174,6.54170137560813,-86.4639823190448,-73.8851839037125,-113.41075895944,59.9091008621347,20.6066843025153,-83.1092306733233
2022-03-02,0.179577957312239,7.11393982481446,-85.9946399125328,-73.712768985464,-113.010292052795,59.9091008621347,17.4232479749929,-83.4179225590289
